Biome,Year,Area
Tropical savanna,10000,2828461.8630021373
Tropical savanna,11000,2475942.0203882447
Tropical savanna,12000,2423614.4253246514
Tropical savanna,13000,2442740.4319616784
Tropical savanna,14000,2401449.2206292567
Tropical savanna,15000,1618965.0547780532
Tropical savanna,16000,571498.0457568461
Tropical savanna,17000,157339.18033596702
Tropical savanna,18000,91408.15754824299
Tropical savanna,19000,48688.29212744404
Tropical savanna,20000,33336.17515072623
Tropical savanna,21000,76114.71103302472
Tropical semi-deciduous forest,-0,2927412.1664590742
Tropical semi-deciduous forest,1000,2670067.5981600783
Tropical semi-deciduous forest,2000,2678916.4983854373
Tropical semi-deciduous forest,3000,2771426.8979754904
Tropical semi-deciduous forest,4000,2619330.5058637443
Tropical semi-deciduous forest,5000,2186686.6134054065
Tropical semi-deciduous forest,6000,2494214.848200639
Tropical semi-deciduous forest,7000,2500510.0334555414
Tropical semi-deciduous forest,8000,2576782.353616569
Tropical semi-deciduous forest,9000,2784576.199837862
Tropical semi-deciduous forest,10000,2531574.577243957
Tropical semi-deciduous forest,11000,2855718.6187753654
Tropical semi-deciduous forest,12000,2734432.3849350456
Tropical semi-deciduous forest,13000,2605836.064469347
Tropical semi-deciduous forest,14000,2465594.5561057925
Tropical semi-deciduous forest,15000,2313197.942143479
Tropical semi-deciduous forest,16000,1006076.8175885632
Tropical semi-deciduous forest,17000,612392.5837961975
Tropical semi-deciduous forest,18000,513109.6254421506
Tropical semi-deciduous forest,19000,497918.3438990023
Tropical semi-deciduous forest,20000,458497.1994577189
Tropical semi-deciduous forest,21000,503415.9287954193
Tropical xerophytic shrubland,-0,2111775.467933191
Tropical xerophytic shrubland,1000,2146366.502986719
Tropical xerophytic shrubland,2000,2215010.209946939
Tropical xerophytic shrubland,3000,2411589.330267577
Tropical xerophytic shrubland,4000,2454609.8689454896
Tropical xerophytic shrubland,5000,2527899.7908585393
Tropical xerophytic shrubland,6000,2553563.9339870824
Tropical xerophytic shrubland,7000,2769538.947655123
Tropical xerophytic shrubland,8000,2729926.864124356
Tropical xerophytic shrubland,9000,2109083.9687034464
Tropical xerophytic shrubland,10000,2462718.018669035
Tropical xerophytic shrubland,11000,1994386.5640470728
Tropical xerophytic shrubland,12000,2349573.21918273
Tropical xerophytic shrubland,13000,2493348.488974178
Tropical xerophytic shrubland,14000,2345740.0654945136
Tropical xerophytic shrubland,15000,3376403.7479209853
Tropical xerophytic shrubland,16000,5987286.229331931
Tropical xerophytic shrubland,17000,8411530.549855217
Tropical xerophytic shrubland,18000,8840417.473123116
Tropical xerophytic shrubland,19000,9107119.995734148
Tropical xerophytic shrubland,20000,8971659.96714154
Tropical xerophytic shrubland,21000,9167669.862961557
Warm mixed forest,-0,746803.1927417002
Warm mixed forest,1000,850769.1734713322
Warm mixed forest,2000,791520.313314239
Warm mixed forest,3000,743231.43119358
Warm mixed forest,4000,667211.9951693809
Warm mixed forest,5000,711738.9033837798
Warm mixed forest,6000,673118.768712937
Warm mixed forest,7000,603569.0362025809
Warm mixed forest,8000,577726.0604727208
Warm mixed forest,9000,631041.499307578
Warm mixed forest,10000,564764.6728368361
Warm mixed forest,11000,730828.6117228407
Warm mixed forest,12000,609439.08494665
Warm mixed forest,13000,616852.651113506
Warm mixed forest,14000,808337.5271263331
Warm mixed forest,15000,949225.2132583816
Warm mixed forest,16000,1147501.120256747
Warm mixed forest,17000,1035623.0580042675
Warm mixed forest,18000,1128411.450599193
Warm mixed forest,19000,970883.1167212933
Warm mixed forest,20000,1154835.9305965258
Warm mixed forest,21000,941968.3438814906
Water bodies,-0,4928.01992605568
Water bodies,1000,4928.01992605568
Water bodies,2000,17129.20174486778
Water bodies,3000,31693.553657147007
Water bodies,4000,37818.23714083113
Water bodies,5000,46918.172904830535
Water bodies,6000,58595.952986592085
Water bodies,7000,87712.29300957294
Water bodies,8000,96827.39458723878
Water bodies,9000,167106.04301811356
Water bodies,10000,287777.6417325002
Water bodies,11000,468489.0967332708
Water bodies,12000,623326.2058318328
Water bodies,13000,780673.8964256583
Water bodies,14000,943073.7355494852
Water bodies,15000,1087262.4018503455
Water bodies,16000,1224430.4648078831
Water bodies,17000,1319265.3795014138
Water bodies,18000,1372860.6357990548
Water bodies,19000,1396178.4126801684
Water bodies,20000,1388319.0216677692
Water bodies,21000,1414068.6530655131
